;Kalimat;Kelas;Propocessing;Lowers
0;['salah', 'merk', 'sepatu', 'nama'];ood;salah, merk, sepatu, nama;salah, merk, sepatu, nama
1;['tampil', 'batas', 'sks', 'maksimum', 'ambil', 'semester'];id;tampil, batas, sks, maksimum, ambil, semester;tampil, batas, sks, maksimum, ambil, semester
2;['mana', 'letak', 'bumi'];ood;mana, letak, bumi;mana, letak, bumi
3;['tampil', 'sks', 'mata', 'kuliah', 'algoritma', 'pemrograman'];id;tampil, sks, mata, kuliah, algoritma, pemrograman;tampil, sks, mata, kuliah, algoritma, pemrograman
4;['kriteria', 'mahasiswa'];ood;kriteria, mahasiswa;kriteria, mahasiswa
5;['temu', 'nama', 'mahasiswa', 'milik', 'nim'];id;temu, nama, mahasiswa, milik, nim;temu, nama, mahasiswa, milik, nim
6;['tampil', 'jadwal', 'mata', 'kuliah', 'struktur', 'data'];id;tampil, jadwal, mata, kuliah, struktur, data;tampil, jadwal, mata, kuliah, struktur, data
7;['tampil', 'semester', 'pendek', 'semester'];id;tampil, semester, pendek, semester;tampil, semester, pendek, semester
8;['tampil', 'kartu', 'hasil', 'studi', 'semester'];id;tampil, kartu, hasil, studi, semester;tampil, kartu, hasil, studi, semester
9;['tampil', 'isi', 'krs'];id;tampil, isi, krs;tampil, isi, krs
10;['tampil', 'transkip', 'nilai'];id;tampil, transkip, nilai;tampil, transkip, nilai
11;['tampil', 'informasi', 'data', 'pribadi'];id;tampil, informasi, data, pribadi;tampil, informasi, data, pribadi
12;['sebab', 'kanker'];ood;sebab, kanker;sebab, kanker
13;['semester'];id;semester;semester
14;['data', 'mahasiswa', 'ipk'];id;data, mahasiswa, ipk;data, mahasiswa, ipk
15;['tampil', 'ip', 'semester'];id;tampil, ip, semester;tampil, ip, semester
16;['sks', 'semester'];id;sks, semester;sks, semester
17;['nomor', 'induk', 'mahasiswa'];id;nomor, induk, mahasiswa;nomor, induk, mahasiswa
18;['temu', 'aplikasi', 'chatbot', 'dunia'];ood;temu, aplikasi, chatbot, dunia;temu, aplikasi, chatbot, dunia
19;['syukur'];ood;syukur;syukur
20;['menajemen', 'kuliah', 'organisasi'];ood;menajemen, kuliah, organisasi;menajemen, kuliah, organisasi
21;['tampil', 'batas', 'isi', 'krs'];id;tampil, batas, isi, krs;tampil, batas, isi, krs
22;['semester', 'pendek', 'semester'];id;semester, pendek, semester;semester, pendek, semester
23;['kartu', 'hasil', 'studi', 'semester'];id;kartu, hasil, studi, semester;kartu, hasil, studi, semester
24;['sks', 'maksimum', 'ambil', 'semester'];id;sks, maksimum, ambil, semester;sks, maksimum, ambil, semester
25;['maksimum', 'ambil', 'semester', 'pendek'];id;maksimum, ambil, semester, pendek;maksimum, ambil, semester, pendek
26;['sks', 'semester'];id;sks, semester;sks, semester
27;['novel', 'tere', 'liye', 'karya', 'sastra'];ood;novel, tere, liye, karya, sastra;novel, tere, liye, karya, sastra
28;['tanggal', 'isi', 'krs'];id;tanggal, isi, krs;tanggal, isi, krs
29;['perintah', 'kota', 'bandung', 'diri'];ood;perintah, kota, bandung, diri;perintah, kota, bandung, diri
30;['kumpul', 'tugas', 'website', 'elarning', 'unsri'];ood;kumpul, tugas, website, elarning, unsri;kumpul, tugas, website, elarning, unsri
31;['sks', 'semester'];id;sks, semester;sks, semester
