Kalimat;Kelas
Bagaimana cara menajemen waktu antara kuliah dan organisasi? ;OOD
Siapa aktor termahal sekarang?;OOD
Saya lebih suka dirinya yang memakai hijab;OOD
Buku yang berjudul Daun yang Jatuh Tak Pernah Membeci Angin ditulis oleh?;OOD
Siapakah orang yang mampu menerima trust issue Annisa Fitri ?;OOD
Berapa harga martabak varian spesial?;OOD
Siapa Nama Dekan Fakultas Ilmu Komputer Universitas Sriwijaya?;OOD
Mengapa bintang laut berada di laut?;OOD
Buku yang berjudul Tentang Kamu ditulis oleh?;OOD
Kapan Pemerintah Kota Bandung Didirikan?;OOD
Mengapa lampu lalu lintas untuk berhenti berwarna merah?;OOD
Bagaimana cara menentukan waktu belajar yang baik;OOD
Rekomendasi channel YouTube yang dibutuhkan?;OOD
Siapa pencetus abjad?;OOD
Siapa penemu perangkat lunak?;OOD
Apa yang membuat Tere Liye sukses?;OOD
nama dekan fasilkom;OOD
Dimana fakultas mipa unsri ;OOD
Siapakah yang membawa kucing menyebrangi pulau ?;OOD
Bagaimana cara mengubah warna font di web?;OOD
Bagaimana cara mendapatkan jodoh? hihihi ;OOD
Dimana negara dengan penduduk paling sedikit?;OOD
Mengapa ikan hidup di air?;OOD
Kapan Universitas Sriwijaya didirikan?;OOD
Saat sudah lulus, kamu akan lamar kerja diperusahaan mana?;OOD
Apa saja fasilitas di unsri? ;OOD
Apakah 2 orang yang bertemu dalam satu organisasi diperbolehkan menikah ?;OOD
Siapa Nama Dekan Fakultas Hukum Universitas Sriwijaya?;OOD
Berapa Ipk anda?;OOD
Siapa aktor korea yang kamu suka?;OOD
Bagaimana cara mengupload jurnal?  ;OOD
Siapa penulis buku Bumi?;OOD
Siapa penulis buku yang berjudul Rindu?;OOD
Siapa Nama Dekan Fakultas Matematika dan Ilmu Pengetahuan Alam Universitas Sriwijaya?;OOD
Bagaimana caranya agar orang yang dekat dengan kita memberikan kita kepastian ?;OOD
Apakah mahasiswa memiliki kesempatan lulus dengan pujian?;OOD
Bagaimana cara menabung dengan konsisten?;OOD
Siapa penemu bola lampu?;OOD
Tolong cari pedagang martabak dengan harga jual termurah;OOD
Berapa kali manusia harus minum dalam satu hari;OOD
Darimana bayi lahir ?;OOD
Bagaimana agar IPK 4,00?;OOD
Siapa nama fisikawan teoretis kelahiran Jerman?;OOD
Siapa penulis buku 1984?;OOD
Mengapa universitas menerapkan sistem SKS?;OOD
Temukan lokasi pedagang martabak terdekat;OOD
Apa itu belajar ?;OOD
Apa saja kegiatan mahasiswa yang didukung oleh pihak universitas diluar akademik?;OOD
Siapa Nama Dekan Fakultas Keguruan Ilmu Pendidikan Universitas Sriwijaya?;OOD
Siapakah penemu aplikasi chatbot pertama di dunia?;OOD
Siapa Nama Wakil Direktur Utama 2019/2020?;OOD
Buku yang berjudul Bulan adalah karya?;OOD
Siapa Nama Dekan Fakultas Kesehatan Masyarakat Universitas Sriwijaya?;OOD
"Apa arti kata ""I Love You"" dalam bahasa Indonesia?";OOD
Saya lebih bagus cari kerja atau mulai usaha?;OOD
Bagaimana cara meminjam buku di Perpus unsri? ;OOD
temukan lokasi fasilkom;OOD
Siapa  kepala program studi ilmu keperawatan unsri yang pertama? ;OOD
Buku yang berjudul Hujan adalah karya?;OOD
Beasiswa apa saja yang ada di UNSRI?;OOD
Tolong temukan lokasi unsri;OOD
Aku cantik ga?;OOD
Berapa luas unsri? ;OOD
Siapa penemu bola lampu?;OOD
Siapa Nama Dekan Fakultas Kedokteran Universitas Sriwijaya?;OOD
Dimana letak bumi ?;OOD
Bagaimana agar nilai tidak turun?;OOD
bagaimana cara bersyukur?;OOD
Bagaimana cara membuat kartu anggota perpustakaan? ;OOD
Apakah letak gedung FMIPA Unsri Indralaya dekat dengan gedung  FP?;OOD
Siapa penjaga perpustakaan fasilkom?;OOD
Siapa perempuan paling cantik di alam barzah ?;OOD
Dari mana asal Virus Corona?;OOD
Siapa Nama Mahasiswa Berprestasi 2019?;OOD
"Siapa yang disebut sebagai ""bapak astronomi observasional""?";OOD
Kapan disahkannya gelar administrasi negara menjadi administrasi publik di UNSRI?;OOD
Tolong temukan jodoh saya;OOD
Apakah saya merupakan robot?;OOD
Apa saja judul puisi karya Supardi  Djoko Damono?;OOD
Mengapa Indonesia masih menjadi negara berkembang ? ;OOD
Dimana teori hujan ditemukan pertama kali ? ;OOD
Bulan berapa UNSRI didirikan?;OOD
Siapa nama rektor unsri saat ini ?;OOD
Siapa penulis buku Kamu Gak Sendiri?;OOD
Buku yang berjudul Rembulan Tenggelam di Wajah mu adalah karya?;OOD
Siapa nama president RI yang ke-4;OOD
Tahun berapa fasilkom unsri berdiri ?;OOD
Berapa luas kampus unsri;OOD
Kapan Tere Liye menerbitkan buku lagi?;OOD
Siapa nama penemu awan ? ;OOD
Bagaimana kondisi kampus anda?;OOD
Bagaimana cara tidur cepat;OOD
Berapa banyak organisasi mahasiswa yang ada di UNSRI?;OOD
Youtuber no 1 di Indonesia? ;OOD
Berapa IPK tertinggi lulusan tahun 2021 di UNSRI?;OOD
Mengapa harus belajar pemrograman?;OOD
Siapa penulis buku dengan judul Paradigma?;OOD
Siapakah kucing yang paling menyebalkan dalam student center ?;OOD
Apakah hujan dapat menyebabkan banjir?;OOD
